metric,metric_label,system,queries,mean,median,std_dev,ci_low,ci_high,min,max
ndcg10,nDCG@10,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.7342377995011736,1.0,0.3926079330888143,0.7279495487977353,0.7405260502046119,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_315,14977,0.6489283568137811,1.0,0.4773212303045996,0.6412832857154598,0.6565734279121025,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_414,14977,0.6282299525939774,1.0,0.48329356987484967,0.6204892248230862,0.6359706803648686,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_424,14977,0.619549976630834,1.0,0.48551368891470387,0.6117736900646729,0.6273262631969951,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_513,14977,0.6502637377311878,1.0,0.47690250031575915,0.6426253732705194,0.6579021021918563,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_513_tk1000,14977,0.6502637377311878,1.0,0.47690250031575915,0.6426253732705194,0.6579021021918563,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_513_tk500,14977,0.6502637377311878,1.0,0.47690250031575915,0.6426253732705194,0.6579021021918563,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_514,14977,0.625358883621553,1.0,0.4840462729302257,0.6176061000944773,0.6331116671486288,0.0,1.0
recall5,Recall@5,reranked_results,14977,0.731721973692996,1.0,0.44307791061584,0.7246253647141913,0.7388185826718007,0.0,1.0
recall5,Recall@5,nemotron_topk400,14977,0.7801963009948588,1.0,0.41412737641846836,0.7735633816200804,0.7868292203696372,0.0,1.0
recall5,Recall@5,rer_bge_m3_hybrid_513_nemotron,14977,0.7655071109033852,1.0,0.4236955986349912,0.7587209409826732,0.7722932808240972,0.0,1.0
recall5,Recall@5,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.7848033651599119,1.0,0.41097240828708964,0.778220977699798,0.7913857526200258,0.0,1.0
recall5,Recall@5,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.7835347532883755,1.0,0.4118487210143178,0.776938330263366,0.790131176313385,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_315,14977,0.696801762702811,1.0,0.45965549422688406,0.6894396369246301,0.704163888480992,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_414,14977,0.680843960739801,1.0,0.46616517613759256,0.673377571882848,0.6883103495967541,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_424,14977,0.6754356680243039,1.0,0.46822747103070955,0.6679362481809153,0.6829350878676924,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513,14977,0.698003605528477,1.0,0.45913902871569384,0.6906497517803298,0.7053574592766241,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513_tk1000,14977,0.6980703745743473,1.0,0.4591102268980596,0.690716982133868,0.7054237670148266,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513_tk500,14977,0.6980703745743473,1.0,0.4591102268980596,0.690716982133868,0.7054237670148266,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_514,14977,0.6793750417306537,1.0,0.4667324065410624,0.6718995677618549,0.6868505156994524,0.0,1.0
recall10,Recall@10,reranked_results,14977,0.7675769513253655,1.0,0.42239139158431616,0.760811670388835,0.774342232261896,0.0,1.0
recall10,Recall@10,nemotron_topk400,14977,0.8188555785537824,1.0,0.38515065184134056,0.8126867682642991,0.8250243888432658,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron,14977,0.794818722040462,1.0,0.4038475091984431,0.7883504513567301,0.8012869927241939,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.8247312545903719,1.0,0.38020950063920966,0.8186415848248157,0.830820924355928,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.8219269546638178,1.0,0.38258699537971846,0.8157992054767461,0.8280547038508895,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_315,14977,0.8365493757094211,1.0,0.36978865308781655,0.8306266126628147,0.8424721387560276,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_414,14977,0.8326767710489417,1.0,0.3732766658937994,0.8266981418388365,0.8386554002590468,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_424,14977,0.8276690926086666,1.0,0.37768040702684197,0.82161993036562,0.8337182548517132,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_513,14977,0.8391533684983642,1.0,0.3674016948647086,0.8332688364462448,0.8450379005504836,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_513_tk1000,14977,0.8408225946451225,1.0,0.3658536537229598,0.8349628569743138,0.8466823323159313,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_513_tk500,14977,0.8408225946451225,1.0,0.3658536537229598,0.8349628569743138,0.8466823323159313,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_514,14977,0.8326767710489417,1.0,0.3732766658937994,0.8266981418388365,0.8386554002590468,0.0,1.0
recall100,Recall@100,reranked_results,14977,0.8391533684983642,1.0,0.3674016948647086,0.8332688364462448,0.8450379005504836,0.0,1.0
recall100,Recall@100,nemotron_topk400,14977,0.8929024504239834,1.0,0.30924755430737055,0.8879493509396946,0.8978555499082722,0.0,1.0
recall100,Recall@100,rer_bge_m3_hybrid_513_nemotron,14977,0.8391533684983642,1.0,0.3674016948647086,0.8332688364462448,0.8450379005504836,0.0,1.0
recall100,Recall@100,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.9109300928089737,1.0,0.28485413212675753,0.9063676934131414,0.9154924922048061,0.0,1.0
recall100,Recall@100,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.8985778193229619,1.0,0.30189701455176904,0.893742450615087,0.9034131880308368,0.0,1.0
