metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
ap,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron,0.1635649526196613,0.0,0.1582250743751128,0.16890483086420982,5020,1076,8881,11313286.5,0.0,0.0,True
ap,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk1000,0.1837608105571978,0.0,0.17817817600549068,0.18934344510890494,6418,1045,7514,10577623.0,0.0,0.0,True
ap,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk500,0.18229652040815625,0.0,0.1767309686553979,0.1878620721609146,6081,1021,7875,10424002.0,0.0,0.0,True
ap,reranked_results,nemotron_topk400,0.04314390503116054,0.0,0.038907109583494255,0.04738070047882683,3344,1549,10084,19458098.0,2.9651840169692796e-142,6.819923239029343e-141,True
ap,reranked_results,rer_bge_m3_hybrid_513_nemotron,0.03168373007770447,0.0,0.02779555771548226,0.035571902439926674,2509,1363,11105,17732340.5,4.579050302809177e-76,5.952765393651931e-75,True
ap,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk1000,0.051879588015240986,0.0,0.04766330862865141,0.05609586740183056,3838,1454,9685,18054781.0,3.672743596159028e-228,1.175277950770889e-226,True
ap,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk500,0.05041529786619939,0.0,0.04625541568455716,0.054575180047841614,3494,1402,10081,17550919.5,1.9451275419787058e-194,5.251844363342506e-193,True
ap,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron,-0.011460174953456075,0.0,-0.013445213441895598,-0.009475136465016552,1230,1103,12644,15465655.0,0.053468499311544904,0.10693699862308981,False
ap,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk1000,0.008735682984080442,0.0,0.0070537890518194086,0.010417576916341474,817,1454,12706,11632468.5,3.701082316482825e-35,3.3309740848345426e-34,True
ap,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk500,0.007271392835038843,0.0,0.005662815064213134,0.008879970605864554,815,1214,12948,11619607.0,6.043448450780069e-16,3.0217242253900347e-15,True
ap,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk1000,0.020195857937536515,0.0,0.017640352987676845,0.022751362887396185,1882,1438,11657,18904271.0,8.347046379019968e-17,5.008227827411981e-16,True
ap,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk500,0.018731567788494916,0.0,0.01633224495732937,0.02113089061966046,1403,1327,12247,17712998.5,0.01481357195319139,0.04444071585957417,True
ap,rer_bge_m3_hybrid_513_nemotron_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,-0.0014642901490415985,0.0,-0.002501695442111349,-0.0004268848559718483,1469,710,12798,10039322.5,1.718227936787751e-55,1.718227936787751e-54,True
